TO,FROM,REASON,SERVER,DATE,CHANNEL,,,,,,,
@ChrisCyphert#4148,JeffEmmett,for his hard work giving the cadCAD website an update and refresh ,Commons Stack,Feb-24-2021,praise,,,,,,,
@Juankbell#7458,AmwFund,for taking on the discord migration. Superstar. ,Token Engineering Commons,Feb-25-2021,🙌🏿praise,,,,,,,
@Zeptimus#3359,Juankbell,for helping on the migration communication strategy! its really amazing to count with you ,Token Engineering Commons,Feb-25-2021,🙌🏿praise,,,,,,,
@iviangita#3204,Juankbell,for helping on the migration communication strategy! its really amazing to count with you ,Token Engineering Commons,Feb-25-2021,🙌🏿praise,,,,,,,
@metaverde#2503,Juankbell,for helping on the migration communication strategy! its really amazing to count with you ,Token Engineering Commons,Feb-25-2021,🙌🏿praise,,,,,,,
@geleeroyale#3228,metaverde,for doing the bridges. ,Token Engineering Commons,Feb-26-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,metaverde,for making gelee praisable. ,Token Engineering Commons,Feb-26-2021,🙌🏿praise,,,,,,,
@Vyvy-vi#5040,metaverde,for tracking changes. ,Token Engineering Commons,Feb-26-2021,🙌🏿praise,,,,,,,
@griff#3281,Kris,test ,Commons Stack,Feb-26-2021,praise,,,,,,,
@Kris#8703,griff,for their awesome work on the discord Praise bot ,Token Engineering Commons,Feb-27-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,griff,for their awesome work on the discord Praise bot ,Token Engineering Commons,Feb-27-2021,🙌🏿praise,,,,,,,
@griff#3281,griff,for their awesome work on the discord Praise bot ,Token Engineering Commons,Feb-27-2021,🙌🏿praise,,,,,,,
@iviangita#3204,Juankbell,for being so helpful to the praise system 😃 ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
Juankbell#7458,iviangita,for answering my questions and making things clearer about the praise channels 🙂 ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
Mount Manu#3530,markop,to for quick turnaround on editing video for Griff. ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
Zeptimus#3359,markop,to for taking care of Digital Security management ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
Juankbell#7458,markop,to for taking on the Discord moderation ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
